Curve Name,Curve Length (um),Average Curvature (um-1),Curvature Std (um-1),X-Coordinate (um),Y-Coordinate (um),Point Curvature (um-1),Point Curvature Sign,Red Intensity,Green Intensity,Blue Intensity
CURVE 2,4.128135917,0.46112706,0.415391709,73.78435338,46.26322025,0.095553034,-1,218,149,"149.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.79662431,46.2769968,0.089789811,-1,218,149,"149.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.80899549,46.29093255,0.084252775,-1,218,149,"149.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.82146867,46.30502794,0.078934267,-1,193,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.8340456,46.3192834,0.073826821,-1,193,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.84672802,46.33369938,0.068923166,-1,233,143,"143.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.85951769,46.34827631,0.064216228,-1,233,143,"143.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.87241634,46.36301463,0.059699129,-1,233,143,"143.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.88542573,46.37791476,0.055365185,-1,233,143,"143.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.89854761,46.39297716,0.051207907,-1,233,143,"143.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.91178371,46.40820226,0.047220999,-1,233,143,"143.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.92513578,46.42359049,0.043398354,-1,199,146,"146.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.93860558,46.43914229,0.039734054,-1,199,146,"146.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.95219484,46.45485809,0.036222364,-1,199,146,"146.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.96590532,46.47073834,0.032857731,-1,203,142,"142.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.97973876,46.48678347,0.029634781,-1,203,142,"142.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.99369691,46.50299392,0.026548314,-1,203,142,"142.0"
CURVE 2,4.128135917,0.46112706,0.415391709,74.00778152,46.51937012,0.023593301,-1,203,142,"142.0"
CURVE 2,4.128135917,0.46112706,0.415391709,74.02199432,46.53591251,0.020764877,-1,211,142,"142.0"
CURVE 2,4.128135917,0.46112706,0.415391709,74.03633707,46.55262152,0.018058345,-1,211,142,"142.0"
CURVE 2,4.128135917,0.46112706,0.415391709,74.05081152,46.5694976,0.015469162,-1,211,142,"142.0"
CURVE 2,4.128135917,0.46112706,0.415391709,74.06541941,46.58654118,0.012992942,-1,211,142,"142.0"
CURVE 2,4.128135917,0.46112706,0.415391709,74.08016248,46.60375269,0.010625449,-1,221,147,"147.0"
CURVE 2,4.128135917,0.46112706,0.415391709,74.09504249,46.62113258,0.008362594,-1,221,147,"147.0"
CURVE 2,4.128135917,0.46112706,0.415391709,74.11006118,46.63868128,0.00620043,-1,221,147,"147.0"
CURVE 2,4.128135917,0.46112706,0.415391709,74.1252203,46.65639922,0.004135146,-1,213,148,"148.0"
CURVE 2,4.128135917,0.46112706,0.415391709,74.14052159,46.67428685,0.002163068,-1,213,148,"148.0"
CURVE 2,4.128135917,0.46112706,0.415391709,74.1559668,46.6923446,2.81E-04,-1,213,148,"148.0"
CURVE 2,4.128135917,0.46112706,0.415391709,74.17155768,46.7105729,0.001515526,1,213,148,"148.0"
CURVE 2,4.128135917,0.46112706,0.415391709,74.18729598,46.7289722,0.003228758,1,213,148,"148.0"
CURVE 2,4.128135917,0.46112706,0.415391709,74.20318343,46.74754293,0.004862225,1,247,154,"154.0"
CURVE 2,4.128135917,0.46112706,0.415391709,74.21922179,46.76628552,0.006418992,1,247,154,"154.0"
CURVE 2,4.128135917,0.46112706,0.415391709,74.2354128,46.78520042,0.007902012,1,212,149,"149.0"
CURVE 2,4.128135917,0.46112706,0.415391709,74.25175822,46.80428805,0.009314133,1,212,149,"149.0"
